sample	population	time	depth
MZLU153246	ESkane1956	historical	low
MZLU153247	ESkane1956	historical	low
MZLU153248	ESkane1956	historical	low
MZLU153251	ESkane1956	historical	low
MZLU153250	ESkane1956	historical	low
MZLU152765	NSmaland1936	historical	low
MZLU152766	NSmaland1936	historical	low
MZLU152769	NSmaland1936	historical	low
MZLU152770	NSmaland1936	historical	low
MZLU153204	WSkane1951	historical	low
MZLU153205	WSkane1951	historical	low
MZLU153206	WSkane1951	historical	low
MZLU153216	WSkane1951	historical	low
MZLU153221	WSkane1951	historical	low
MZLU107454	ESkane2021	modern	high
MZLU107458	ESkane2021	modern	high
MZLU107463	ESkane2021	modern	high
MZLU107466	ESkane2021	modern	high
MZLU107503	ESkane2021	modern	high
MZLU107504	ESkane2021	modern	high
MZLU107506	ESkane2021	modern	high
MZLU107507	ESkane2021	modern	high
MZLU107455	NSmaland2021	modern	high
MZLU107456	NSmaland2021	modern	high
MZLU107461	NSmaland2021	modern	high
MZLU107462	NSmaland2021	modern	high
MZLU107465	NSmaland2021	modern	high
MZLU107501	NSmaland2021	modern	high
CYSE0078	SESkane2022	modern	high
CYSE0094	SESkane2022	modern	high
CYSE0096	SESkane2022	modern	high
CYSE0098	SESkane2022	modern	high
CYSE0116	SESkane2022	modern	high
CYSE0198	SESkane2022	modern	high
CYSE0199	SESkane2022	modern	high
MZLU107457	WSkane2021	modern	high
MZLU107460	WSkane2021	modern	high
MZLU107464	WSkane2021	modern	high
MZLU107497	WSkane2021	modern	high
MZLU107498	WSkane2021	modern	high
MZLU107499	WSkane2021	modern	high
MZLU107500	WSkane2021	modern	high
MZLU107505	WSkane2021	modern	high